CAREER_LENGTH
4
4
4
7
2
2
2
3
5
6
7
1
3
10
11
6
4
7
7
7
7
4
6
4
1
6
6
6
1
2
4
6
2
4
3
3
3
2
12
3
5
5
5
3
1
6
6
6
16
16
16
5
5
5
12
8
2
1
8
8
8
12
12
12
4
5
1
13
13
13
1
1
2
7
10
10
10
5
3
3
3
9
3
7
3
2
2
2
2
2
6
5
5
1
8
3
7
6
6
6
8
2
1
5
3
4
6
6
6
6
7
1
11
13
13
13
3
13
2
11
1
10
6
6
1
7
1
1
2
3
2
1
5
10
5
1
5
7
6
17
9
1
1
11
11
11
7
12
1
3
10
10
10
15
2
12
2
2
15
1
6
2
4
4
4
6
1
2
10
10
10
6
5
3
3
1
12
3
3
8
16
2
2
4
3
2
8
6
1
1
1
7
5
8
1
4
4
4
4
2
2
2
1
4
12
12
12
7
1
1
1
1
7
1
5
5
5
5
14
14
14
14
5
3
3
1
1
14
15
15
15
3
4
4
4
6
4
1
2
2
2
11
3
3
3
10
16
6
10
2
2
15
12
3
5
16
4
2
3
3
3
1
1
5
2
4
4
11
15
2
2
10
10
2
13
7
7
6
3
1
5
4
14
14
14
1
1
5
8
8
8
4
3
1
6
15
11
9
9
9
1
1
17
5
8
2
1
6
3
5
1
3
10
8
13
5
2
1
3
7
2
13
1
6
1
21
1
2
4
1
1
1
5
4
5
3
15
5
3
1
9
1
8
3
3
4
9
8
16
13
2
2
7
2
3
3
7
6
5
7
7
3
3
7
2
10
3
2
8
4
11
12
1
4
4
4
4
1
12
5
1
3
1
2
2
2
2
9
16
16
16
18
18
18
1
9
4
4
4
3
5
3
3
3
9
7
4
5
5
4
4
4
5
2
15
4
4
4
4
3
11
9
4
5
10
10
10
16
2
5
6
1
4
6
6
6
1
1
1
12
1
1
1
15
15
15
6
6
6
6
2
2
3
7
3
2
7
3
3
1
2
5
13
7
7
7
13
13
13
3
7
7
2
1
11
11
11
11
6
1
9
2
4
8
3
4
5
5
5
1
7
10
4
4
4
7
7
7
4
6
4
4
11
11
11
3
7
9
19
9
9
9
8
1
1
1
1
1
1
1
2
11
1
8
4
4
4
5
2
1
5
11
9
8
3
10
9
2
3
8
4
1
3
3
4
4
4
2
3
10
1
3
5
4
5
2
4
9
6
4
6
2
3
2
2
2
2
2
2
15
9
9
9
1
9
3
8
4
1
1
1
7
3
1
4
11
11
11
2
3
1
6
6
3
2
1
8
8
8
6
4
6
2
3
1
1
2
10
2
14
4
1
7
2
1
2
1
3
3
3
4
4
4
4
1
5
3
2
4
7
3
14
2
7
7
7
3
12
1
1
11
12
3
5
4
4
4
1
4
5
9
6
1
13
13
13
9
1
2
12
8
6
4
1
5
13
1
5
3
6
3
3
3
2
1
6
1
1
9
5
5
5
2
6
6
6
3
3
2
1
2
16
5
7
2
1
1
3
10
3
2
2
5
5
5
2
2
6
1
2
2
4
3
6
2
4
6
1
4
4
4
4
3
1
8
9
9
9
17
17
17
6
3
11
8
