id,full_name,first_name,last_name,is_active,headshot_url
201592,J.R. Giddens,J.R.,Giddens,False,https://cdn.nba.com/headshots/nba/latest/260x190/201592.png
1630581,Josh Giddey,Josh,Giddey,True,https://cdn.nba.com/headshots/nba/latest/260x190/1630581.png
201821,Trey Gilder,Trey,Gilder,False,https://cdn.nba.com/headshots/nba/latest/260x190/201821.png
1628385,Harry Giles III,Harry,Giles III,True,https://cdn.nba.com/headshots/nba/latest/260x190/1628385.png
1628983,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,True,https://cdn.nba.com/headshots/nba/latest/260x190/1628983.png
1630264,Anthony Gill,Anthony,Gill,True,https://cdn.nba.com/headshots/nba/latest/260x190/1630264.png
2109,Eddie Gill,Eddie,Gill,False,https://cdn.nba.com/headshots/nba/latest/260x190/2109.png
383,Kendall Gill,Kendall,Gill,False,https://cdn.nba.com/headshots/nba/latest/260x190/383.png
76812,Ben Gillery,Ben,Gillery,False,https://cdn.nba.com/headshots/nba/latest/260x190/76812.png
1631221,Collin Gillespie,Collin,Gillespie,True,https://cdn.nba.com/headshots/nba/latest/260x190/1631221.png
1630273,Freddie Gillespie,Freddie,Gillespie,False,https://cdn.nba.com/headshots/nba/latest/260x190/1630273.png
76813,Gene Gillette,Gene,Gillette,False,https://cdn.nba.com/headshots/nba/latest/260x190/76813.png
288,Armen Gilliam,Armen,Gilliam,False,https://cdn.nba.com/headshots/nba/latest/260x190/288.png
76815,Herm Gilliam,Herm,Gilliam,False,https://cdn.nba.com/headshots/nba/latest/260x190/76815.png
600014,Artis Gilmore,Artis,Gilmore,False,https://cdn.nba.com/headshots/nba/latest/260x190/600014.png
76817,Walt Gilmore,Walt,Gilmore,False,https://cdn.nba.com/headshots/nba/latest/260x190/76817.png
76818,Chuck Gilmur,Chuck,Gilmur,False,https://cdn.nba.com/headshots/nba/latest/260x190/76818.png
1631367,Jacob Gilyard,Jacob,Gilyard,True,https://cdn.nba.com/headshots/nba/latest/260x190/1631367.png
1938,Manu Ginobili,Manu,Ginobili,False,https://cdn.nba.com/headshots/nba/latest/260x190/1938.png
1921,Gordan Giricek,Gordan,Giricek,False,https://cdn.nba.com/headshots/nba/latest/260x190/1921.png
76819,Jack Givens,Jack,Givens,False,https://cdn.nba.com/headshots/nba/latest/260x190/76819.png
202148,Mickell Gladness,Mickell,Gladness,False,https://cdn.nba.com/headshots/nba/latest/260x190/202148.png
76820,George Glamack,George,Glamack,False,https://cdn.nba.com/headshots/nba/latest/260x190/76820.png
76821,Gerald Glass,Gerald,Glass,False,https://cdn.nba.com/headshots/nba/latest/260x190/76821.png
76822,Mike Glenn,Mike,Glenn,False,https://cdn.nba.com/headshots/nba/latest/260x190/76822.png
76823,Norman Glick,Norman,Glick,False,https://cdn.nba.com/headshots/nba/latest/260x190/76823.png
76824,Georgi Glouchkov,Georgi,Glouchkov,False,https://cdn.nba.com/headshots/nba/latest/260x190/76824.png
76825,Clarence Glover,Clarence,Glover,False,https://cdn.nba.com/headshots/nba/latest/260x190/76825.png
1901,Dion Glover,Dion,Glover,False,https://cdn.nba.com/headshots/nba/latest/260x190/1901.png
2601,Andreas Glyniadakis,Andreas,Glyniadakis,False,https://cdn.nba.com/headshots/nba/latest/260x190/2601.png
76826,Mike Gminski,Mike,Gminski,False,https://cdn.nba.com/headshots/nba/latest/260x190/76826.png
203497,Rudy Gobert,Rudy,Gobert,True,https://cdn.nba.com/headshots/nba/latest/260x190/203497.png
76827,Dan Godfread,Dan,Godfread,False,https://cdn.nba.com/headshots/nba/latest/260x190/76827.png
76828,Tom Gola,Tom,Gola,False,https://cdn.nba.com/headshots/nba/latest/260x190/76828.png
76829,Ben Goldfaden,Ben,Goldfaden,False,https://cdn.nba.com/headshots/nba/latest/260x190/76829.png
924,Anthony Goldwire,Anthony,Goldwire,False,https://cdn.nba.com/headshots/nba/latest/260x190/924.png
101155,Ryan Gomes,Ryan,Gomes,False,https://cdn.nba.com/headshots/nba/latest/260x190/101155.png
76830,Glen Gondrezick,Glen,Gondrezick,False,https://cdn.nba.com/headshots/nba/latest/260x190/76830.png
76831,Grant Gondrezick,Grant,Gondrezick,False,https://cdn.nba.com/headshots/nba/latest/260x190/76831.png
2400,Drew Gooden,Drew,Gooden,False,https://cdn.nba.com/headshots/nba/latest/260x190/2400.png
76832,Gail Goodrich,Gail,Goodrich,False,https://cdn.nba.com/headshots/nba/latest/260x190/76832.png
1864,Steve Goodrich,Steve,Goodrich,False,https://cdn.nba.com/headshots/nba/latest/260x190/1864.png
203462,Archie Goodwin,Archie,Goodwin,False,https://cdn.nba.com/headshots/nba/latest/260x190/203462.png
1629164,Brandon Goodwin,Brandon,Goodwin,False,https://cdn.nba.com/headshots/nba/latest/260x190/1629164.png
1630692,Jordan Goodwin,Jordan,Goodwin,True,https://cdn.nba.com/headshots/nba/latest/260x190/1630692.png
76833,Wilfred Goodwin,Wilfred,Goodwin,False,https://cdn.nba.com/headshots/nba/latest/260x190/76833.png
203932,Aaron Gordon,Aaron,Gordon,True,https://cdn.nba.com/headshots/nba/latest/260x190/203932.png
2732,Ben Gordon,Ben,Gordon,False,https://cdn.nba.com/headshots/nba/latest/260x190/2732.png
204079,Drew Gordon,Drew,Gordon,False,https://cdn.nba.com/headshots/nba/latest/260x190/204079.png
201569,Eric Gordon,Eric,Gordon,True,https://cdn.nba.com/headshots/nba/latest/260x190/201569.png
76834,Lancaster Gordon,Lancaster,Gordon,False,https://cdn.nba.com/headshots/nba/latest/260x190/76834.png
76835,Paul Gordon,Paul,Gordon,False,https://cdn.nba.com/headshots/nba/latest/260x190/76835.png
101162,Marcin Gortat,Marcin,Gortat,False,https://cdn.nba.com/headshots/nba/latest/260x190/101162.png
76836,Leo Gottlieb,Leo,Gottlieb,False,https://cdn.nba.com/headshots/nba/latest/260x190/76836.png
202726,Andrew Goudelock,Andrew,Goudelock,False,https://cdn.nba.com/headshots/nba/latest/260x190/202726.png
76837,Bato Govedarica,Bato,Govedarica,False,https://cdn.nba.com/headshots/nba/latest/260x190/76837.png
76838,Joe Graboski,Joe,Graboski,False,https://cdn.nba.com/headshots/nba/latest/260x190/76838.png
76839,Ricky Grace,Ricky,Grace,False,https://cdn.nba.com/headshots/nba/latest/260x190/76839.png
1628984,Devonte' Graham,Devonte',Graham,True,https://cdn.nba.com/headshots/nba/latest/260x190/1628984.png
37,Greg Graham,Greg,Graham,False,https://cdn.nba.com/headshots/nba/latest/260x190/37.png
101121,Joey Graham,Joey,Graham,False,https://cdn.nba.com/headshots/nba/latest/260x190/101121.png
76843,Mal Graham,Mal,Graham,False,https://cdn.nba.com/headshots/nba/latest/260x190/76843.png
76841,Orlando Graham,Orlando,Graham,False,https://cdn.nba.com/headshots/nba/latest/260x190/76841.png
76842,Paul Graham,Paul,Graham,False,https://cdn.nba.com/headshots/nba/latest/260x190/76842.png
101211,Stephen Graham,Stephen,Graham,False,https://cdn.nba.com/headshots/nba/latest/260x190/101211.png
1626203,Treveon Graham,Treveon,Graham,False,https://cdn.nba.com/headshots/nba/latest/260x190/1626203.png
76844,Jim Grandholm,Jim,Grandholm,False,https://cdn.nba.com/headshots/nba/latest/260x190/76844.png
97,Ronnie Grandison,Ronnie,Grandison,False,https://cdn.nba.com/headshots/nba/latest/260x190/97.png
