PLAYER_ID,PLAYER_AGE,GP,PPG,APG,RPG,SPG,TOV,PPG_TREND,RPG_TREND,APG_TREND,MPG_TREND,CAREER_LENGTH
77776,28.0,51,2.2346153846153847,0.22020757020757017,1.8297924297924297,0.15793650793650793,2.0,,,,,4
77777,24.0,4,2.0,1.75,0.5,0.25,4.0,,,,,1
77778,32.0,283,10.985643942125122,1.288513276011248,3.307011815920398,0.7431152660609994,50.0,,,,,4
77779,24.0,118,2.616089674239692,0.6862503506030372,0.0,1.0940317345834836,50.0,,,,,1
77780,25.0,15,3.8666666666666663,1.0,1.6666666666666667,1.8,50.0,,,,,1
77782,24.0,8,2.625,0.625,1.25,0.125,3.0,,,,,1
77783,26.0,151,4.987244298945825,1.4514539163493376,1.1724137931034482,0.7958868858671007,50.0,,,,,2
77784,25.0,58,3.0710186513629845,1.0387374461979912,0.7890961262553802,0.34218077474892394,50.0,,,,,2
77785,23.0,20,1.3,0.15,0.75,0.25,2.0,,,,,1
77786,34.0,488,10.650271765954788,1.8503163492727877,5.834782674081429,0.4365230314540848,134.0,,,,,7
77788,24.0,79,3.015646258503401,0.30136054421768704,1.9340136054421768,0.15578231292517,47.0,,,,,2
77789,29.0,147,3.632620338108143,0.6913553361724093,0.98056684733514,0.2278761775712995,16.5,,,,,3
77790,23.0,3,2.3333333333333335,0.3333333333333333,,9.0,50.0,,,,,1
77791,27.0,324,6.790990359483266,0.6682635420562845,3.1959467622720585,1.0011644068862626,50.0,,,,,6
77792,28.0,196,7.966906254965956,0.8205165817106116,5.185359443568399,0.41958634346694046,50.0,,,,,3
77793,27.0,148,11.605432402846196,1.2030309250136835,,0.5569581280788177,50.0,,,,,3
77794,24.0,48,2.2142857142857144,0.2321428571428571,1.475,0.07857142857142854,8.0,,,,,2
77797,29.0,133,4.2155844155844155,1.6484126984126986,1.7142857142857142,1.572077922077922,50.0,,,,,3
77799,27.0,313,5.91299842860497,1.6256984670433101,3.014335591632275,0.45294426701287216,50.0,,,,,5
77800,27.0,452,9.588861657905868,2.0474362351366113,3.972453773923314,1.3102284967187963,111.5,,,,,6
77801,26.0,4,0.75,0.5,,6.75,50.0,,,,,1
77802,23.0,66,3.9696969696969697,0.7727272727272727,4.212121212121212,0.4090909090909091,50.0,,,,,1
77803,25.0,58,4.689655172413793,0.3448275862068966,,0.4655172413793103,50.0,,,,,1
77804,24.0,9,2.4444444444444446,0.8888888888888888,,3.0,50.0,,,,,1
77806,30.0,62,2.2111383108935128,0.5520195838433293,,1.0244798041615666,50.0,,,,,2
77807,42.0,39,3.102564102564102,0.3846153846153846,,0.6923076923076923,50.0,,,,,1
77808,26.0,3,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.0,1.0,,,,,1
77809,28.0,106,5.885740989543781,1.4463169577662247,0.0,0.9082014136339739,50.0,,,,,1
77811,28.0,59,2.0338983050847457,0.864406779661017,2.694915254237288,0.4576271186440678,50.0,,,,,1
77812,28.0,416,3.912019180832343,1.1704162322886553,4.098896600056759,0.3497738070985706,50.0,,,,,5
77813,25.0,25,1.4456521739130435,0.5652173913043478,0.9782608695652174,0.5869565217391305,50.0,,,,,2
77814,27.0,4,1.75,0.5,0.5,6.75,50.0,,,,,1
77815,26.0,155,3.746974789915966,0.3418487394957983,3.003109243697479,1.5156302521008402,50.0,,,,,3
77816,22.0,6,3.3333333333333335,0.6666666666666666,1.6666666666666667,4.5,50.0,,,,,1
77817,36.0,785,7.312577318120541,1.4950373688128136,5.264151514882125,0.470650178058636,68.0,,,,,9
77818,25.0,138,8.05875551818373,1.6429472356527222,4.485179735127181,0.3916333823838553,50.0,,,,,2
77819,32.0,829,12.753266226398075,2.6760817143707487,1.8248647389815815,1.081969242219713,91.0,,,,,11
77820,33.0,772,6.667369624545699,3.374581591772771,1.1193876284057667,0.6268649496486633,59.18181818181818,,,,,11
77821,26.0,172,5.671097285067873,1.602957336780866,0.5588235294117647,0.8189883645765998,50.0,,,,,2
77822,26.0,144,4.0473429306256055,0.589423494438692,1.273826781121614,0.28097798857677275,16.75,,,,,4
77823,21.0,29,4.103448275862069,0.5172413793103449,2.3793103448275863,0.9310344827586208,50.0,,,,,1
77824,26.0,111,4.963636363636364,1.1136363636363638,3.2934343434343436,0.5045454545454545,50.0,,,,,2
77825,27.0,37,2.5405405405405403,0.3513513513513513,,0.7297297297297297,50.0,,,,,1
77826,24.0,29,2.5172413793103448,0.2413793103448276,,0.9310344827586208,50.0,,,,,1
77827,22.0,52,3.4615384615384617,0.6346153846153846,3.519230769230769,0.3269230769230769,48.0,,,,,1
77828,33.0,108,10.579232804232804,2.395546737213404,0.0,1.0345238095238096,50.0,,,,,1
77829,31.0,202,3.09146590124851,0.35082188343057913,2.227743271221532,0.2237279628583976,29.666666666666668,,,,,4
77834,27.0,126,6.091666666666667,2.033333333333333,4.833333333333333,0.42954545454545456,50.0,,,,,2
77835,29.0,555,8.087582613312101,1.5926123139450947,7.822965125446468,0.9586314810246968,51.3,,,,,8
77839,30.0,491,6.217101645654138,0.8919880904442345,4.407721363454476,0.40565124946092934,82.75,,,,,8
77840,24.0,69,2.891765704584041,0.6999151103565365,0.9588285229202038,0.7907470288624787,50.0,,,,,2
77841,27.0,115,6.975502130249543,0.8887705416920267,5.433962264150943,0.4724589166159464,50.0,,,,,2
77842,26.0,2,1.0,0.0,0.5,13.5,50.0,,,,,1
77843,24.0,103,3.793996582789686,0.6571528424976701,3.168996582789686,1.5234156570363468,50.0,,,,,3
77844,28.0,446,21.67916628975188,4.586368744604734,2.813690902894377,0.7371857108295665,50.0,,,,,6
77845,28.0,351,12.970283851514148,2.0273444273978942,2.040833198584052,0.8034604548059631,112.83333333333333,,,,,4
77846,25.0,22,2.409090909090909,0.0454545454545454,1.4090909090909092,0.0909090909090909,15.0,,,,,1
77847,32.0,792,26.177270043062755,2.9647094066260866,16.098956369401943,0.380607739254768,50.0,,,,,11
77848,27.0,517,7.01295641235637,1.207687976432381,1.7304980015429898,0.36540915780140487,51.083333333333336,,,,,6
77849,25.0,4,0.75,0.5,1.25,6.75,50.0,,,,,1
77850,24.0,110,4.100252525252525,1.0426767676767676,0.0,0.9886363636363636,50.0,,,,,1
77852,26.0,132,3.83968253968254,1.1936507936507936,1.034920634920635,1.1642857142857144,32.0,,,,,3
