PLAYER_ID,PLAYER_AGE,GP,PPG,APG,RPG,SPG,TOV,PPG_TREND,RPG_TREND,APG_TREND,MPG_TREND,AVG_GAMES_MISSED
1630173,24.0,25,7.72,1.76,5.44,0.64,29.0,-0.5929020056970495,-0.0527599168554475,-0.1017832095647621,-1.0153634004282963,25.833333333333332
1630173,24.0,49,7.591836734693878,1.0816326530612246,7.163265306122449,0.6122448979591837,54.0,-0.5929020056970495,-0.0527599168554475,-0.1017832095647621,-1.0153634004282963,25.833333333333332
1630173,24.0,74,7.635135135135135,1.3108108108108107,6.581081081081081,0.6216216216216216,83.0,-0.5929020056970495,-0.0527599168554475,-0.1017832095647621,-1.0153634004282963,25.833333333333332
1628389,26.0,71,19.253521126760564,3.915492957746479,10.380281690140846,1.1408450704225352,162.0,-0.7128298406651715,-0.2094724412101273,-0.0772077390372468,-1.224257627876681,12.142857142857142
1630534,24.0,51,5.372549019607843,0.9215686274509804,2.4705882352941178,0.5294117647058824,34.0,-0.6222525720615273,-0.1440900303818312,-0.1602932761078827,-1.2562824302316704,28.25
1630534,24.0,27,6.703703703703703,1.3333333333333333,3.3333333333333335,0.7407407407407407,30.0,-0.6222525720615273,-0.1440900303818312,-0.1602932761078827,-1.2562824302316704,28.25
1630534,24.0,78,5.833333333333333,1.064102564102564,2.769230769230769,0.6025641025641025,64.0,-0.6222525720615273,-0.1440900303818312,-0.1602932761078827,-1.2562824302316704,28.25
1630583,23.0,61,10.721311475409836,2.262295081967213,5.770491803278689,0.7049180327868853,69.0,-0.665035205810773,-0.138205354404831,-0.1720078191215567,-1.5587425061953912,25.333333333333332
1629638,25.0,82,7.987804878048781,2.4878048780487805,2.0365853658536586,0.7804878048780488,76.0,-0.2283122275982431,-0.0319418835233305,-0.0888955904727287,-0.2940272384083526,35.0
1628960,28.0,75,13.52,3.026666666666667,3.933333333333333,0.92,95.0,-0.518773259250544,-0.1401653224757373,-0.0142822656218252,-0.2341404321479274,25.5
1628386,26.0,77,16.506493506493506,2.727272727272727,10.532467532467532,0.6883116883116883,121.0,-0.252183483506158,-0.2522816411624551,-0.0124056176381757,-0.6729945845498172,21.0
1641851,24.0,5,2.6,1.0,3.4,0.8,2.0,-0.1964285714285714,-0.4285714285714285,-0.1249999999999999,-0.0773809523809522,77.0
1630631,26.0,56,7.089285714285714,2.0892857142857144,2.2857142857142856,1.0535714285714286,40.0,,,,,25.0
203937,30.0,79,6.405063291139241,4.189873417721519,3.4556962025316458,0.8987341772151899,91.0,,,,,16.7
203507,29.0,73,30.438356164383563,6.52054794520548,11.52054794520548,1.1917808219178083,250.0,0.0,0.0,0.0,0.0,10.0
203648,31.0,34,0.9411764705882352,0.5,0.3823529411764705,0.2058823529411764,14.0,,,,,49.0
1630175,24.0,81,11.567901234567902,2.9135802469135803,3.8395061728395063,0.7901234567901234,126.0,-1.029607776124804,-0.5793494431265328,-0.1295132885690161,-2.2879156447267897,18.75
1628384,26.0,27,15.11111111111111,2.6666666666666665,3.925925925925926,1.037037037037037,43.0,,,,,30.0
1628384,26.0,23,14.130434782608695,1.5217391304347827,4.434782608695652,1.7391304347826086,38.0,,,,,30.0
1628384,26.0,50,14.66,2.14,4.16,1.36,81.0,,,,,30.0
1627853,30.0,20,0.0,0.2,0.4,0.1,2.0,,,,,51.22222222222222
1630166,23.0,75,14.693333333333332,3.8133333333333335,7.2,0.8,160.0,-1.1694134011929989,-0.6509714596646835,-0.1330414113064894,-2.470676278300999,10.25
1629028,25.0,55,16.727272727272727,1.6363636363636365,11.072727272727272,1.018181818181818,99.0,,,,,22.333333333333332
1628962,24.0,16,2.1875,0.1875,2.0,0.0625,4.0,,,,,61.0
1630641,21.0,22,1.5454545454545454,0.5909090909090909,2.3181818181818183,0.1363636363636363,15.0,,,,,60.0
1628963,25.0,26,10.192307692307692,1.0384615384615383,4.538461538461538,0.1923076923076923,29.0,,,,,46.4
1628963,25.0,24,13.25,1.1666666666666667,8.083333333333334,0.625,30.0,,,,,46.4
1628963,25.0,50,11.66,1.1,6.24,0.4,59.0,,,,,46.4
1641735,20.0,10,2.3,0.7,0.9,0.3,4.0,,,,,72.0
1631116,21.0,38,4.421052631578948,0.7631578947368421,3.236842105263158,0.4736842105263157,19.0,,,,,47.5
1630163,22.0,22,23.90909090909091,8.0,5.136363636363637,1.818181818181818,83.0,,,,,36.0
1628964,26.0,57,4.43859649122807,0.7192982456140351,4.175438596491228,0.3859649122807017,39.0,,,,,34.375
1631094,21.0,80,22.55,5.3875,6.925,0.8875,247.0,,,,,6.0
1630217,26.0,42,23.738095238095237,5.476190476190476,4.404761904761905,1.0238095238095235,112.0,,,,,21.0
1630625,24.0,24,2.3333333333333335,0.7916666666666666,1.4583333333333333,0.2083333333333333,10.0,,,,,41.4
1630625,24.0,30,16.7,3.6,4.766666666666667,0.9333333333333332,67.0,,,,,41.4
1630625,24.0,54,10.314814814814817,2.3518518518518516,3.2962962962962963,0.6111111111111112,77.0,,,,,41.4
1631230,21.0,33,4.363636363636363,1.0909090909090908,3.4242424242424243,0.3636363636363636,9.0,-0.066792341212661,-0.2177865063829648,0.1436247821706383,-0.0740502471735048,51.5
203084,32.0,82,12.195121951219512,1.2073170731707317,3.0365853658536586,0.6585365853658537,58.0,0.2045902166815966,0.0100992016958261,0.0527165781739649,0.1284602590963024,11.428571428571429
1630567,22.0,60,19.85,6.05,8.233333333333333,1.25,165.0,-0.2641014946140767,-0.2607219146711954,-0.032679560859994,-1.0216444689872874,11.666666666666666
